NR_TURNO;SG_UF;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;DS_NACIONALIDADE;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_REELEICAO
1;DF;8;DEPUTADO DISTRITAL;15030;GIAN CHELOTTI;15;MDB;BRASILEIRA NATA;DF;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;70022;JULIANA PORCARO SABOIA;70;AVANTE;BRASILEIRA NATA;RJ;46;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;19456;PROFESSOR RICARDO DANTAS;19;PODE;BRASILEIRA NATA;DF;48;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;27222;MARIA BRAZILINO;27;DC;BRASILEIRA NATA;CE;52;FEMININO;LÊ E ESCREVE;CASADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1331;ERIKA KOKAY;13;PT;BRASILEIRA NATA;CE;65;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
1;DF;8;DEPUTADO DISTRITAL;14051;JOAO PESCOCINHO;14;PTB;BRASILEIRA NATA;CE;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;11911;PROFESSOR DARLEY;11;PP;BRASILEIRA NATA;DF;36;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;1800;ROBERTO CABRAL;18;REDE;BRASILEIRA NATA;MG;53;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;44401;EDINÉZIO SANTOS;44;UNIÃO;BRASILEIRA NATA;RS;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1234;DENISE FRANCO;12;PDT;BRASILEIRA NATA;DF;53;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36123;ETIENO O AGENTE DA SAÚDE;36;AGIR;BRASILEIRA NATA;DF;37;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;77345;TIA MARIA;77;SOLIDARIEDADE;BRASILEIRA NATA;MA;63;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1222;EUCLIDES ASSUNÇÃO;12;PDT;BRASILEIRA NATA;MA;71;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;22122;BISPO RENATO;22;PL;BRASILEIRA NATA;MG;59;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36591;CÉSAR RAMOS;36;AGIR;BRASILEIRA NATA;DF;54;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;22389;COMANDANTE GENILSON;22;PL;BRASILEIRA NATA;DF;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
